Age Category,Sex,num,Year,Time
40,M,1,2016,20850
46,M,12,2005,13381
55,M,12,2014,18244
52,M,12,2011,15748
53,M,12,2012,16552
48,M,12,2007,14691
55,M,12,2016,15772
47,M,12,2006,13432
50,M,12,2009,14927
45,M,12,2004,12560
49,M,12,2008,13475
55,M,12,2015,17014
51,M,12,2010,15841
35,M,1,2016,17921
50,M,5,2016,12592
49,M,5,2014,12352
47,M,5,2012,11626
50,M,5,2015,12757
45,M,5,2010,11473
30,F,1,2016,15475
35,M,2,2015,12919
35,M,2,2016,13999
25,M,1,2016,18344
45,M,1,2016,12581
35,M,2,2015,13668
40,M,2,2016,13705
35,F,1,2016,19406
40,M,3,2014,15576
35,M,3,2016,19041
60,M,1,2016,13611
20,F,1,2016,19025
55,M,2,2016,13001
47,M,2,2007,12795
35,M,1,2016,17954
30,M,1,2016,17083
40,M,1,2016,18466
35,F,1,2016,21214
50,M,9,2015,21189
46,M,9,2009,20987
49,M,9,2012,22142
44,M,9,2007,20344
43,M,9,2006,19516
50,M,9,2016,22171
47,M,9,2010,20773
51,M,9,2014,20330
45,M,9,2008,19775
50,M,1,2016,19043
45,F,2,2016,18007
47,F,2,2014,18053
45,M,1,2016,15712
45,F,1,2016,19657
40,M,1,2016,16437
15,M,1,2016,17884
25,M,1,2016,20129
30,F,1,2016,12867
40,M,1,2016,20124
35,M,1,2016,16873
30,M,1,2016,17446
30,M,2,2016,12515
33,M,2,2014,12599
35,M,1,2016,18322
25,M,1,2016,14076
50,F,1,2016,18154
45,M,1,2016,19782
35,M,1,2016,19625
20,M,1,2016,12818
40,F,1,2016,13275
30,M,1,2016,13164
40,M,1,2016,14344
40,F,1,2016,19049
25,M,1,2016,12437
35,M,1,2016,17990
40,M,3,2016,16928
38,M,3,2011,15627
41,M,3,2014,16707
37,M,3,2010,24021
40,M,3,2016,22710
40,M,3,2015,20831
35,M,1,2016,23192
40,M,1,2016,14926
25,M,1,2016,14049
30,F,1,2016,14943
45,M,1,2016,14281
50,M,1,2016,15603
54,M,9,2010,15700
60,M,9,2016,15519
49,M,9,2005,15468
53,M,9,2009,15680
55,M,9,2011,14501
58,M,9,2014,15959
51,M,9,2007,15617
56,M,9,2012,16172
52,M,9,2008,14955
33,M,7,2010,18677
31,M,7,2008,19034
35,M,7,2012,20629
35,M,7,2016,21060
34,M,7,2011,17563
40,M,7,2016,14347
50,M,1,2016,12234
40,M,1,2016,14184
55,F,2,2015,19664
55,F,2,2016,18929
35,F,1,2016,21553
35,F,1,2016,13570
40,F,2,2016,17572
37,F,2,2011,17821
50,M,1,2016,14133
35,M,1,2016,14927
45,M,6,2015,16449
45,M,6,2014,16966
43,M,6,2012,14802
42,M,6,2011,13776
45,M,6,2016,16982
41,M,6,2010,14893
44,M,2,2014,17306
45,M,2,2016,13507
34,M,3,2014,15973
32,M,3,2012,15990
35,M,3,2016,15694
30,M,4,2015,14302
30,M,4,2012,23220
32,M,4,2014,17382
30,M,4,2016,15829
45,F,3,2016,18670
45,F,3,2015,15831
45,F,3,2014,16811
45,M,1,2016,13089
30,F,1,2016,16820
35,M,1,2016,17480
30,M,1,2016,17750
40,F,1,2016,18946
35,M,2,2016,16443
57,M,6,2014,16633
45,M,6,2006,15343
51,M,6,2008,15685
53,M,6,2010,16366
50,M,6,2007,15424
55,M,6,2016,17464
55,M,3,2015,16934
58,M,3,2014,15626
60,M,3,2016,14989
50,M,1,2016,14897
20,M,2,2015,14048
20,M,2,2016,11828
31,M,2,2014,16149
30,M,2,2016,14202
45,M,5,2016,11561
46,M,5,2014,11272
35,M,5,2003,11165
40,M,5,2008,11239
36,M,5,2004,11352
40,M,1,2016,18735
39,M,5,2010,15846
45,M,5,2016,16032
41,M,5,2012,17421
40,M,5,2015,15661
30,M,1,2016,16825
50,M,2,2016,13025
49,M,2,2014,15136
50,M,1,2016,13645
30,F,2,2016,17107
30,F,2,2015,16913
25,F,1,2016,16972
30,M,1,2016,13154
51,F,7,2009,16191
49,F,7,2007,16177
52,F,7,2010,16160
55,F,7,2016,19704
50,F,7,2008,15278
54,F,7,2012,17933
53,F,7,2011,16150
50,M,1,2016,15366
35,F,1,2016,16004
40,M,1,2016,16488
50,M,1,2016,13973
45,M,1,2016,14114
45,M,1,2016,15740
40,M,1,2016,21059
30,M,1,2016,13052
40,F,1,2016,24652
55,M,1,2016,19473
40,M,1,2016,23878
25,F,1,2016,19593
20,F,1,2016,13985
35,M,1,2016,16454
20,F,1,2016,16857
40,M,1,2016,19004
41,M,2,2014,13741
40,M,2,2016,14358
40,M,1,2016,15838
38,M,2,2011,11571
40,M,2,2016,11137
40,M,4,2016,13373
38,M,4,2014,16321
35,M,4,2015,14585
45,M,1,2016,16785
32,M,2,2010,15540
35,M,2,2016,15111
50,M,1,2016,23229
49,M,2,2014,11784
50,M,2,2016,11180
40,F,1,2016,19013
25,F,1,2016,13134
35,F,1,2016,16140
50,M,1,2016,18858
60,M,1,2016,15636
35,M,1,2016,16346
40,F,1,2016,14281
40,F,1,2016,20300
50,M,1,2016,13855
41,M,7,2009,18881
40,M,7,2008,18213
43,M,7,2011,18417
45,M,7,2016,19452
46,M,7,2014,22719
45,M,7,2015,17843
42,M,7,2010,17874
35,M,1,2016,13760
40,F,1,2016,14033
40,F,1,2016,19853
55,M,1,2016,13988
31,M,2,2011,15187
40,M,2,2016,24768
