Age Category,Sex,num,Year,Time,ageFactor
58,M,4,2014,19626,"[50,60)"
28,M,4,2014,19626,"[20,30)"
55,M,4,2015,16144,"[50,60)"
40,M,3,2016,15752,"[40,50)"
40,M,3,2014,16380,"[40,50)"
40,M,3,2015,16158,"[40,50)"
45,M,1,2016,19320,"[40,50)"
50,M,3,2015,15772,"[50,60)"
50,M,3,2016,14817,"[50,60)"
35,M,1,2016,16314,"[30,40)"
45,F,1,2016,21015,"[40,50)"
50,F,2,2016,15558,"[50,60)"
42,M,2,2014,12979,"[40,50)"
40,M,2,2016,13035,"[40,50)"
35,F,1,2016,14063,"[30,40)"
30,F,1,2016,14785,"[30,40)"
30,M,3,2015,13798,"[30,40)"
33,M,3,2014,17552,"[30,40)"
35,M,3,2016,15146,"[30,40)"
40,M,1,2016,13227,"[40,50)"
35,M,1,2016,19542,"[30,40)"
30,F,1,2016,12582,"[30,40)"
45,M,1,2016,13368,"[40,50)"
30,M,1,2016,13692,"[30,40)"
65,M,1,2016,20580,"[60,70)"
45,M,2,2014,10837,"[40,50)"
45,M,2,2016,10990,"[40,50)"
35,F,1,2016,20744,"[30,40)"
60,F,5,2016,15064,"[60,70)"
60,F,5,2015,15132,"[60,70)"
57,F,5,2012,15401,"[50,60)"
50,F,5,2006,17249,"[50,60)"
59,F,5,2014,15440,"[50,60)"
45,M,1,2016,14538,"[40,50)"
40,M,1,2016,12828,"[40,50)"
30,F,1,2016,16010,"[30,40)"
40,M,1,2016,13366,"[40,50)"
25,M,1,2016,16425,"[20,30)"
25,M,1,2016,16884,"[20,30)"
60,F,2,2016,25603,"[60,70)"
53,F,2,2009,24431,"[50,60)"
40,F,1,2016,11595,"[40,50)"
30,F,1,2016,13668,"[30,40)"
30,M,1,2016,11759,"[30,40)"
30,M,1,2016,14309,"[30,40)"
45,M,2,2015,13138,"[40,50)"
45,M,2,2016,13107,"[40,50)"
50,F,1,2016,17587,"[50,60)"
40,M,1,2016,14912,"[40,50)"
35,F,1,2016,16049,"[30,40)"
30,M,1,2016,16097,"[30,40)"
45,M,1,2016,10788,"[40,50)"
30,M,1,2016,15606,"[30,40)"
40,M,1,2016,11032,"[40,50)"
35,M,2,2016,12897,"[30,40)"
26,M,2,2007,14022,"[20,30)"
20,M,1,2016,17212,"[20,30)"
50,F,1,2016,19105,"[50,60)"
45,M,1,2016,14091,"[40,50)"
35,M,1,2016,17047,"[30,40)"
30,M,1,2016,13432,"[30,40)"
20,F,2,2016,13128,"[20,30)"
45,F,1,2016,14492,"[40,50)"
30,F,1,2016,11907,"[30,40)"
30,F,1,2016,19028,"[30,40)"
40,F,1,2016,14686,"[40,50)"
35,M,1,2016,16092,"[30,40)"
35,M,1,2016,14167,"[30,40)"
50,F,1,2016,20711,"[50,60)"
34,M,5,2009,10373,"[30,40)"
36,M,5,2011,11693,"[30,40)"
40,M,5,2016,11158,"[40,50)"
35,M,5,2010,11816,"[30,40)"
31,M,5,2006,10731,"[30,40)"
35,M,1,2016,12671,"[30,40)"
40,F,1,2016,21234,"[40,50)"
45,F,1,2016,16624,"[40,50)"
45,F,6,2015,15860,"[40,50)"
42,F,6,2009,15273,"[40,50)"
44,F,6,2011,17074,"[40,50)"
45,F,6,2012,16810,"[40,50)"
47,F,6,2014,17320,"[40,50)"
45,F,6,2016,16397,"[40,50)"
40,F,2,2015,15162,"[40,50)"
40,F,2,2016,13355,"[40,50)"
25,M,1,2016,17655,"[20,30)"
40,F,1,2016,25788,"[40,50)"
30,F,1,2016,17726,"[30,40)"
35,M,1,2016,11374,"[30,40)"
45,F,1,2016,18161,"[40,50)"
30,M,1,2016,18876,"[30,40)"
35,M,1,2016,14056,"[30,40)"
45,M,1,2016,12199,"[40,50)"
35,F,1,2016,16955,"[30,40)"
35,M,1,2016,17540,"[30,40)"
45,M,2,2015,15637,"[40,50)"
45,M,2,2016,15394,"[40,50)"
40,F,1,2016,15406,"[40,50)"
45,F,1,2016,17470,"[40,50)"
30,F,1,2016,25776,"[30,40)"
40,F,1,2016,14547,"[40,50)"
30,F,1,2016,12861,"[30,40)"
35,M,1,2016,17729,"[30,40)"
50,M,6,2016,12561,"[50,60)"
48,M,6,2012,12168,"[40,50)"
47,M,6,2011,12303,"[40,50)"
46,M,6,2010,12812,"[40,50)"
50,M,6,2014,13017,"[50,60)"
50,M,6,2015,12464,"[50,60)"
35,M,1,2016,14046,"[30,40)"
45,M,1,2016,12675,"[40,50)"
55,M,1,2016,17368,"[50,60)"
35,M,1,2016,13671,"[30,40)"
45,F,1,2016,18196,"[40,50)"
40,M,1,2016,15265,"[40,50)"
50,M,2,2016,15030,"[50,60)"
39,M,2,2003,13369,"[30,40)"
60,M,1,2016,20535,"[60,70)"
30,M,2,2016,16105,"[30,40)"
30,M,2,2015,15512,"[30,40)"
35,M,1,2016,13745,"[30,40)"
35,F,1,2016,19029,"[30,40)"
20,M,1,2016,13172,"[20,30)"
25,F,1,2016,20310,"[20,30)"
30,F,1,2016,16221,"[30,40)"
35,F,1,2016,16725,"[30,40)"
20,M,2,2016,22658,"[20,30)"
15,M,2,2015,17820,"[10,20)"
40,M,1,2016,17248,"[40,50)"
35,M,2,2016,14776,"[30,40)"
35,M,2,2005,17505,"[30,40)"
50,F,1,2016,19903,"[50,60)"
55,M,2,2016,19612,"[50,60)"
50,M,2,2015,18956,"[50,60)"
37,M,4,2010,17377,"[30,40)"
40,M,4,2016,17399,"[40,50)"
38,M,4,2011,14702,"[30,40)"
36,M,4,2009,16731,"[30,40)"
35,F,1,2016,15678,"[30,40)"
35,M,1,2016,16081,"[30,40)"
35,M,2,2016,15191,"[30,40)"
35,M,2,2015,13479,"[30,40)"
35,M,1,2016,13341,"[30,40)"
40,M,1,2016,17252,"[40,50)"
30,F,1,2016,17376,"[30,40)"
45,F,1,2016,14074,"[40,50)"
40,F,1,2016,17219,"[40,50)"
45,M,1,2016,18910,"[40,50)"
35,F,1,2016,18201,"[30,40)"
45,M,1,2016,14896,"[40,50)"
50,M,3,2016,20341,"[50,60)"
41,M,3,2014,17793,"[40,50)"
51,M,3,2014,20265,"[50,60)"
40,M,1,2016,15427,"[40,50)"
20,M,2,2016,19673,"[20,30)"
17,M,2,2012,17276,"[10,20)"
35,M,1,2016,13839,"[30,40)"
45,F,2,2016,15137,"[40,50)"
0,F,2,2014,15975,NA
25,M,1,2016,17328,"[20,30)"
30,F,1,2016,20270,"[30,40)"
35,F,1,2016,17981,"[30,40)"
50,M,1,2016,12285,"[50,60)"
50,M,1,2016,11895,"[50,60)"
40,F,4,2016,16252,"[40,50)"
37,F,4,2012,16457,"[30,40)"
35,F,4,2010,18847,"[30,40)"
50,M,2,2015,12652,"[50,60)"
50,M,2,2016,13270,"[50,60)"
40,M,1,2016,14038,"[40,50)"
50,M,1,2016,14569,"[50,60)"
35,F,1,2016,20171,"[30,40)"
20,F,1,2016,20976,"[20,30)"
33,F,4,2007,16664,"[30,40)"
20,F,4,2016,22127,"[20,30)"
32,F,4,2006,17241,"[30,40)"
20,F,4,2015,24866,"[20,30)"
40,M,1,2016,16203,"[40,50)"
27,M,5,2011,15165,"[20,30)"
30,M,5,2016,14185,"[30,40)"
30,M,5,2014,15524,"[30,40)"
30,M,5,2015,14479,"[30,40)"
28,M,5,2012,16319,"[20,30)"
40,M,3,2014,14803,"[40,50)"
40,M,3,2016,12332,"[40,50)"
40,M,3,2015,13074,"[40,50)"
40,M,4,2015,12578,"[40,50)"
35,M,4,2008,13360,"[30,40)"
36,M,4,2009,12392,"[30,40)"
40,M,4,2016,12846,"[40,50)"
30,F,1,2016,17409,"[30,40)"
55,M,6,2015,19757,"[50,60)"
57,M,6,2014,22040,"[50,60)"
54,M,6,2011,19114,"[50,60)"
55,M,6,2016,20008,"[50,60)"
55,M,6,2012,18554,"[50,60)"
53,M,6,2010,20622,"[50,60)"
40,F,1,2016,17503,"[40,50)"
20,M,2,2016,25698,"[20,30)"
19,M,2,2011,23708,"[10,20)"
45,M,1,2016,19055,"[40,50)"
40,F,1,2016,15619,"[40,50)"
55,M,1,2016,14625,"[50,60)"
30,F,1,2016,15557,"[30,40)"
25,F,1,2016,14084,"[20,30)"
40,F,1,2016,13494,"[40,50)"
45,F,1,2016,18901,"[40,50)"
55,M,1,2016,13786,"[50,60)"
40,M,1,2016,16010,"[40,50)"
30,M,1,2016,10585,"[30,40)"
20,M,1,2016,16346,"[20,30)"
30,M,1,2016,13098,"[30,40)"
39,M,3,2009,18890,"[30,40)"
31,M,3,2007,18285,"[30,40)"
30,M,3,2016,14511,"[30,40)"
45,M,1,2016,14535,"[40,50)"
35,M,1,2016,14312,"[30,40)"
45,M,1,2016,21143,"[40,50)"
25,F,1,2016,23238,"[20,30)"
20,F,3,2015,19641,"[20,30)"
23,F,3,2014,16985,"[20,30)"
25,F,3,2016,19216,"[20,30)"
54,M,>7,2007,15441,"[50,60)"
40,M,>7,2016,16565,"[40,50)"
52,M,>7,2010,15579,"[50,60)"
35,M,>7,2016,16974,"[30,40)"
44,M,>7,2014,16362,"[40,50)"
40,M,>7,2015,16272,"[40,50)"
52,M,>7,2007,18038,"[50,60)"
50,M,1,2016,15227,"[50,60)"
40,M,1,2016,19585,"[40,50)"
35,M,1,2016,16553,"[30,40)"
40,F,4,2016,11394,"[40,50)"
39,F,4,2012,12205,"[30,40)"
41,F,4,2014,12684,"[40,50)"
40,F,4,2015,11448,"[40,50)"
46,M,5,2007,12848,"[40,50)"
47,M,5,2008,11693,"[40,50)"
50,M,5,2015,11154,"[50,60)"
53,M,5,2014,11722,"[50,60)"
55,M,5,2016,12932,"[50,60)"
40,M,2,2016,14958,"[40,50)"
35,M,2,2015,14380,"[30,40)"
35,M,2,2016,12722,"[30,40)"
40,M,1,2016,13258,"[40,50)"
38,M,3,2014,19784,"[30,40)"
40,M,3,2016,18119,"[40,50)"
36,M,3,2012,20738,"[30,40)"
35,M,1,2016,16350,"[30,40)"
30,F,1,2016,19517,"[30,40)"
30,F,1,2016,17695,"[30,40)"
45,F,1,2016,13242,"[40,50)"
40,M,1,2016,14260,"[40,50)"
50,M,1,2016,18655,"[50,60)"
30,M,1,2016,13634,"[30,40)"
55,M,2,2016,14872,"[50,60)"
30,M,1,2016,15897,"[30,40)"
45,M,1,2016,11450,"[40,50)"
30,M,4,2016,20744,"[30,40)"
30,M,4,2015,21021,"[30,40)"
30,M,4,2012,20185,"[30,40)"
29,M,4,2011,24273,"[20,30)"
15,F,1,2016,16965,"[10,20)"
45,M,1,2016,15062,"[40,50)"
35,F,1,2016,13721,"[30,40)"
35,M,1,2016,11943,"[30,40)"
30,M,1,2016,17965,"[30,40)"
40,F,1,2016,13965,"[40,50)"
50,M,2,2016,14837,"[50,60)"
46,M,2,2009,13662,"[40,50)"
40,F,2,2016,16637,"[40,50)"
35,F,2,2015,16978,"[30,40)"
40,F,1,2016,17346,"[40,50)"
30,F,1,2016,19005,"[30,40)"
55,F,6,2015,18320,"[50,60)"
60,F,6,2016,19627,"[60,70)"
51,F,6,2007,17980,"[50,60)"
54,F,6,2010,16031,"[50,60)"
55,F,6,2011,16520,"[50,60)"
52,F,6,2008,16165,"[50,60)"
30,M,1,2016,12166,"[30,40)"
50,F,3,2016,16873,"[50,60)"
47,F,3,2012,16931,"[40,50)"
50,F,3,2015,15710,"[50,60)"
50,F,1,2016,19998,"[50,60)"
40,M,1,2016,11447,"[40,50)"
30,M,2,2016,15403,"[30,40)"
25,M,2,2015,13674,"[20,30)"
20,F,3,2015,17274,"[20,30)"
25,F,3,2016,19864,"[20,30)"
23,F,3,2014,19843,"[20,30)"
25,M,1,2016,15231,"[20,30)"
40,M,1,2016,13217,"[40,50)"
35,M,3,2015,15490,"[30,40)"
38,M,3,2014,17414,"[30,40)"
40,M,3,2016,17385,"[40,50)"
35,M,1,2016,13555,"[30,40)"
25,M,1,2016,17691,"[20,30)"
30,M,1,2016,15301,"[30,40)"
30,M,1,2016,10716,"[30,40)"
45,F,1,2016,16979,"[40,50)"
30,M,1,2016,12084,"[30,40)"
50,F,1,2016,12537,"[50,60)"
35,M,2,2016,16083,"[30,40)"
36,M,2,2014,15971,"[30,40)"
25,F,1,2016,17978,"[20,30)"
50,M,3,2016,13945,"[50,60)"
48,M,3,2012,14322,"[40,50)"
50,M,3,2014,16171,"[50,60)"
20,M,1,2016,12530,"[20,30)"
40,F,1,2016,17547,"[40,50)"
30,F,1,2016,15786,"[30,40)"
50,M,1,2016,17920,"[50,60)"
45,M,1,2016,15933,"[40,50)"
35,M,1,2016,13757,"[30,40)"
30,F,1,2016,13614,"[30,40)"
50,M,1,2016,12769,"[50,60)"
30,F,1,2016,18891,"[30,40)"
25,F,1,2016,15730,"[20,30)"
25,F,2,2016,15944,"[20,30)"
25,M,1,2016,10886,"[20,30)"
35,M,6,2016,12625,"[30,40)"
35,M,6,2015,12198,"[30,40)"
29,M,6,2009,11383,"[20,30)"
28,M,6,2008,12391,"[20,30)"
27,M,6,2007,15753,"[20,30)"
32,M,6,2012,11465,"[30,40)"
40,F,1,2016,10530,"[40,50)"
65,M,5,2012,18933,"[60,70)"
65,M,5,2015,20521,"[60,70)"
67,M,5,2014,21626,"[60,70)"
64,M,5,2011,17862,"[60,70)"
65,M,5,2016,21130,"[60,70)"
35,M,1,2016,14872,"[30,40)"
40,M,1,2016,19584,"[40,50)"
50,M,1,2016,15815,"[50,60)"
20,F,1,2016,17224,"[20,30)"
35,M,1,2016,14616,"[30,40)"
40,M,1,2016,20850,"[40,50)"
46,M,>7,2005,13381,"[40,50)"
