Id,Age Category,Sex,Time,Year,ageFactor,day_no,temp,flu,num,sdTime,meanTime,ran_more_than_once
62,45,M,14345,2016,"[40,50)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
63,35,F,18129,2007,"[30,40)",28.0,69.0,1.2,5,1073.4359785287616,16657.4,1
63,40,F,15282,2016,"[40,50)",24.0,54.0,1.85,5,1073.4359785287616,16657.4,1
63,38,F,17070,2010,"[30,40)",31.0,71.0,1.3,5,1073.4359785287616,16657.4,1
63,39,F,16048,2011,"[30,40)",30.0,63.0,4.0,5,1073.4359785287616,16657.4,1
63,40,F,16758,2012,"[40,50)",29.0,72.0,1.1,5,1073.4359785287616,16657.4,1
64,44,M,14018,2014,"[40,50)",33.0,76.0,3.0,2,1709.7841969090719,12809.0,1
64,45,M,11600,2016,"[40,50)",24.0,54.0,1.85,2,1709.7841969090719,12809.0,1
65,35,F,14029,2016,"[30,40)",24.0,54.0,1.85,1,1158.9599609975492,16149.73558455299,0
66,35,F,13626,2010,"[30,40)",31.0,71.0,1.3,5,204.85921995360619,13956.6,1
66,40,F,14081,2015,"[40,50)",25.0,60.0,1.9,5,204.85921995360619,13956.6,1
66,40,F,14105,2016,"[40,50)",24.0,54.0,1.85,5,204.85921995360619,13956.6,1
66,39,F,14084,2014,"[30,40)",33.0,76.0,3.0,5,204.85921995360619,13956.6,1
66,30,F,13887,2005,"[30,40)",30.0,70.0,2.37,5,204.85921995360619,13956.6,1
67,46,M,18918,2014,"[40,50)",33.0,76.0,3.0,3,1728.5954799586088,16998.333333333332,1
67,45,M,16512,2015,"[40,50)",25.0,60.0,1.9,3,1728.5954799586088,16998.333333333332,1
67,45,M,15565,2016,"[40,50)",24.0,54.0,1.85,3,1728.5954799586088,16998.333333333332,1
68,39,M,14706,2004,"[30,40)",32.0,74.0,0.0,6,858.6779178869494,14804.166666666666,1
68,43,M,13797,2010,"[40,50)",31.0,71.0,1.3,6,858.6779178869494,14804.166666666666,1
